reporter,trade_flow,product_code,product_description,year,partner,value_usd_thousands,quantity,quantity_unit
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Brazil,         112085.05,2.50925e+007,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Colombia,          63675.08,1.09896e+007,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Honduras,          38886.62,7.68442e+006,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Papua New Guinea,          35246.98,7.95762e+006,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Vietnam,          32196.75,1.24597e+007,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Ethiopia,          29361.30,5.49615e+006,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,India,          19415.73,5.4029e+006,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Nicaragua,          14133.16,2.62458e+006,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Peru,          13476.81,2.39405e+006,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Guatemala,          13245.68,2.16453e+006,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Kenya,          12135.35,1.87923e+006,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Indonesia,           8617.64,1.63197e+006,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,El Salvador,           6475.00,1.05004e+006,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Costa Rica,           6411.01,1.02593e+006,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Germany,           5864.93,1.46705e+006,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Mexico,           5759.14,1.0175e+006,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Tanzania,           4638.09,928460,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Uganda,           3451.81,818690,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Belgium,           1397.30,347712,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Switzerland,           1343.05,382638,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Timor Leste,           1319.80,232628,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,China,           1313.20,282942,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Rwanda,           1305.84,167460,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Panama,           1267.39,208731,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Djibouti,            807.92,138938,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Denmark,            802.71,96000,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Singapore,            752.92,155273,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Burundi,            726.86,103560,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Western Sahara,            422.17,96000,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Ecuador,            370.99,23731.5,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Chile,            303.20,38484,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Canada,            293.62,63569.3,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Bolivia,            280.43,21230,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,United Kingdom,            226.05,38518.4,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,United States of America,            173.37,28844.7,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Zambia,            132.65,19200,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,New Zealand,            125.83,16400,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Netherlands,            114.11,19200,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Myanmar,            104.68,11210,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Malaysia,             95.43,19700.8,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Hungary,             84.68,20700,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Jamaica,             75.32,1220,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Yemen,             65.59,3460,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Thailand,             52.79,4657.2,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Australia,             49.45,19200,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Italy,             48.55,10040.5,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Laos,             33.27,9000,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Nepal,             27.94,1920,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,Philippines,              7.11,389,Kg
Australia,Import,090111,"Coffee, not roasted or decaffeinated",2023,France,              1.35,22.6,Kg
